,year,month,artist_name,ms_played
0,2016,5,MUZZ,0.63
1,2016,5,Monstercat,2.01
2,2016,10,5054281243927,0.21
3,2016,10,Anna Yvette,0.64
4,2016,10,Au5,6.96
5,2016,10,Flume,4.38
6,2016,10,Gene Galuska,0.26
7,2016,10,Goose house,3.7
8,2016,10,Gorillaz,0.42
9,2016,10,Jarren Benton,2.06
10,2016,10,Kyle Coglitore,0.41
11,2016,10,MUZZ,0.1
12,2016,10,Marshmello,5.31
13,2016,10,Mr FijiWiji,0.12
14,2016,10,Omar LinX,0.06
15,2016,10,Rootkit,4.59
16,2016,10,San Holo,0.83
17,2016,10,T-Mass,0.55
18,2016,10,Televisor,4.47
19,2016,10,Trivecta,1.2
20,2016,10,Twin Pack,0.47
21,2016,10,Virtual Riot,2.39
22,2016,11,Anna Yvette,83.09
23,2016,11,Au5,339.85
24,2016,11,Flume,103.79
25,2016,11,Goose house,0.04
26,2016,11,Gorillaz,90.72
27,2016,11,Hyper Potions,329.19
28,2016,11,Kyle Coglitore,72.67
29,2016,11,Maroon 5,128.76
30,2016,11,Marshmello,93.33
31,2016,11,Martin Garrix,3.69
32,2016,11,Rootkit,128.23
33,2016,11,San Holo,91.55
34,2016,11,Shawn Mendes,1.15
35,2016,11,Televisor,102.93
36,2016,11,The Chainsmokers,153.09
37,2016,11,Thirty Seconds To Mars,0.18
38,2016,11,Trivecta,97.85
39,2016,11,Tut Tut Child,96.0
40,2016,11,Virtual Riot,823.49
41,2016,11,Ylvis,992.14
42,2016,12,Anna Yvette,7.71
43,2016,12,Au5,11.79
44,2016,12,Flume,3.89
45,2016,12,Gorillaz,3.84
46,2016,12,Hyper Potions,26.19
47,2016,12,Kyle Coglitore,2.53
48,2016,12,Maroon 5,3.7
49,2016,12,Marshmello,9.13
50,2016,12,Payung Teduh,14.61
51,2016,12,Rootkit,4.59
52,2016,12,San Holo,3.74
53,2016,12,Televisor,4.47
54,2016,12,The Chainsmokers,8.17
55,2016,12,Trivecta,4.5
56,2016,12,Tut Tut Child,3.37
57,2016,12,Virtual Riot,9.21
58,2016,12,Ylvis,19.85
59,2017,2,Anna Yvette,7.78
60,2017,2,Arkana,16.57
61,2017,2,Au5,14.16
62,2017,2,Axero,13.74
63,2017,2,CHIMES,23.22
64,2017,2,Centron,16.51
65,2017,2,Curious Kontrol,21.29
66,2017,2,D1ofAquavibe,22.13
67,2017,2,Disfigure,14.26
68,2017,2,Elènne,37.29
69,2017,2,Excision,26.01
70,2017,2,Extra Terra,19.85
71,2017,2,Flume,9.27
72,2017,2,Flux Pavilion,13.11
73,2017,2,Foria,20.11
74,2017,2,Gorillaz,3.93
75,2017,2,Hyper Potions,8.84
76,2017,2,JayKode,45.22
77,2017,2,Klaypex,15.44
78,2017,2,Kyle Coglitore,4.75
79,2017,2,L Plus,38.21
80,2017,2,Lets Be Friends,15.0
81,2017,2,LigOne,12.23
82,2017,2,Maroon 5,8.82
83,2017,2,Marshmello,5.04
84,2017,2,Mielo,53.33
85,2017,2,Mt. Eden,19.41
86,2017,2,Nhato,27.22
87,2017,2,Nicholas Fraser,4.36
88,2017,2,Nola Wren,11.99
89,2017,2,Ollygon,15.47
90,2017,2,Pink Guy,14.57
91,2017,2,Puppet & Murtagh,17.59
92,2017,2,Rootkit,9.2
93,2017,2,San Holo,10.06
94,2017,2,Shazzka,17.74
95,2017,2,TGC,23.72
96,2017,2,Televisor,10.52
97,2017,2,The Chainsmokers,5.19
98,2017,2,Trivecta,18.23
99,2017,2,Tut Tut Child,6.28
100,2017,2,Vaski,20.02
101,2017,2,Virtual Riot,9.24
102,2017,2,W-Fu !!!,16.33
103,2017,2,War,331.36
104,2017,2,Ylvis,21.67
105,2017,2,audalanche,24.28
106,2017,3,AJR,3.37
107,2017,3,Aimer,185.42
108,2017,3,Anna Yvette,92.9
109,2017,3,Au5,279.28
110,2017,3,Big Sean,1.93
