danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.446,0.823,11,-5.279,0,0.0859,0.00256,0.0748,0.117,0.263,128.198,4
0.402,0.856,1,-4.256,1,0.0659,0.00504,0.0164,0.253,0.247,140.028,4
0.426,0.915,11,-3.881,0,0.143,0.000899,0.108,0.495,0.271,130.405,4
0.434,0.839,8,-4.493,1,0.119,0.0284,0.00103,0.605,0.4,127.67,4
0.457,0.911,1,-3.315,1,0.0498,0.00339,0.592,0.0752,0.33,175.002,4
0.672,0.856,11,-5.537,1,0.262,0.0534,3.93e-05,0.218,0.641,180.048,4
0.843,0.576,2,-6.328,1,0.151,0.00295,0.895,0.0644,0.633,127.999,4
0.676,0.882,7,-4.069,1,0.037,0.566,0.0,0.193,0.855,143.005,4
0.391,0.472,1,-4.121,1,0.0288,0.316,0.0,0.126,0.289,175.968,4
0.702,0.949,5,-4.132,1,0.089,0.0101,0.0,0.0728,0.486,123.988,4
0.415,0.86,7,-4.336,0,0.193,0.0842,0.0,0.216,0.679,104.207,4
0.625,0.827,0,-4.327,0,0.0375,0.0335,0.0,0.207,0.463,125.949,4
0.508,0.773,5,-2.751,1,0.0388,0.146,2.3e-06,0.0792,0.498,118.02,4
0.629,0.602,7,-6.579,1,0.102,0.477,0.0,0.109,0.757,163.892,4
0.698,0.709,4,-3.373,1,0.0405,0.456,0.0,0.298,0.528,115.879,4
0.713,0.881,5,-3.594,1,0.0907,0.321,0.0,0.3,0.922,159.979,4
0.606,0.358,2,-7.327,1,0.0318,0.734,0.0,0.0851,0.489,148.048,4
0.593,0.741,4,-5.078,0,0.305,0.247,0.0,0.0983,0.545,164.902,4
0.502,0.755,8,-5.857,1,0.794,0.0446,1.44e-05,0.371,0.381,170.14,4
0.582,0.509,0,-7.301,1,0.0526,0.402,0.126,0.109,0.444,174.976,4
0.739,0.638,6,-6.466,1,0.0798,0.354,0.0,0.145,0.36,90.831,4
0.556,0.76,6,-5.291,0,0.0482,0.00283,0.00741,0.364,0.203,131.983,4
