name,artistName,release_date,popularity,duration_ms
Solace Album Mix,Monstercat,2012-06-06,0,3538579
Best of 2015 (Album Mix),Monstercat,2016-01-22,0,9158194
Horizon Album Mix,Monstercat,2014-08-06,0,3623121
Monstercat Best of 2012,Monstercat,2013-02-04,0,6348017
Monstercat Podcast EP. 100,Monstercat,2016-04-05,0,9744610
Best of 2014 (Album Mix - Part 1),Monstercat,2015-01-26,0,3374468
Monstercat Podcast EP. 101 (Hush Takeover),Monstercat,2016-04-12,0,3701042
Calling Out (feat. KG & Skyelle),MUZZ,2015-12-18,0,335923
Alladat,Jarren Benton,2015-01-27,13,207560
Saving My Love - Stfu Mix,Twin Pack,2011-11-25,0,386718
オトノナルホウヘ→,Goose house,2015-04-06,0,216173
Sky,Goose house,2011-11-25,14,334081
バーチャル#9,Goose house,2011-08-20,15,286668
”JUST FRIENDS”?,Goose house,2011-08-20,13,299259
"Fly High, So High",Goose house,2016-09-16,0,283706
Best Friend,Goose house,2016-09-16,0,286306
Perfume,Goose house,2015-04-06,0,223840
恋するMerry-Go-Round,Goose house,2015-04-06,0,277026
Pop Up!,Goose house,2015-04-06,0,231546
笑ったままで,Goose house,2015-04-06,0,255800
Don't Get It Misunderstood (feat. Venice),Kyle Coglitore,2015-10-28,19,139702
Up In Flumes,T-Mass,2014-12-27,0,212165
Paper Planes,Virtual Riot,2014-04-06,0,228870
Let It Go,Gene Galuska,2014-06-10,0,247480
Can't Forget You (ft. The Nicholas),San Holo,2015-11-20,0,216363
Can't Forget,Omar LinX,2014-03-17,39,217093
Never Be Like You,Flume,2016-05-27,0,233337
Alone (Slushii Remix),Marshmello,2016-08-25,0,259212
Dirty Harry,Gorillaz,2005-05-23,72,230426
Summer Never Ends,Anna Yvette,2016-07-25,0,231225
Yours Truly (feat. Danyka Nadeau),Mr FijiWiji,2015-02-13,0,282026
Into the Limelight (feat. Danyka Nadeau),Trivecta,2016-06-03,0,270000
Mandala,5054281243927,2019-01-25,0,237215
Time Stops,Virtual Riot,2015-09-21,0,276374
Real Love (feat. Danyka Nadeau),Rootkit,2014-06-30,0,275409
Dangerous (feat. Danyka Nadeau),Televisor,2015-12-18,0,268004
Crossroad (feat. Danyka Nadeau),Au5,2014-12-14,0,417314
Alone,Marshmello,2016-05-13,1,273802
Unbreakable (feat. Danyka Nadeau),Hyper Potions,2016-04-25,0,264954
Breathe (feat. Danyka Nadeau),Tut Tut Child,2014-10-31,0,275121
Inside (feat. Danyka Nadeau),Au5,2015-08-17,0,289970
Closer,The Chainsmokers,2016-07-29,86,244960
Closer To The Edge,Thirty Seconds To Mars,2009-01-01,63,273466
The Fox (What Does the Fox Say?),Ylvis,2013-09-02,66,213708
Stonehenge,Ylvis,2011-10-31,0,233560
The Cabin,Ylvis,2013-10-26,0,248158
Together,Martin Garrix,2016-10-20,48,221274
Don't Wanna Know,Maroon 5,2016-10-11,0,214480
Mercy,Shawn Mendes,2016-09-23,0,208733
Sing,Goose house,2011-08-20,36,260441
Untuk Perempuan Yang Sedang Di Pelukan,Payung Teduh,2014-11-04,75,342000
Cerita Tentang Gunung Dan Laut,Payung Teduh,2010-12-16,44,425626
Kucari Kamu,Payung Teduh,2010-12-16,58,277666
Why Can't We Be Friends?,War,1975,0,230066
Emotional,Flux Pavilion,2015-09-18,50,235275
First Love (feat. Diamond Eyes),Curious Kontrol,2014-01-21,0,255312
Bring the Madness (Noisestorm Remix) [feat. Mayor Apeshit],Excision,2015-03-23,0,240000
Showtime,Shazzka,2015-09-04,14,251682
Find the Light (feat. Harley Holmes),audalanche,2016-02-15,0,183774
Chasing (feat. Phoebe Ryan) - Giuliano Rascan Remix,Mt. Eden,2014-01-14,5,232960
Annunaki,Extra Terra,2015-07-17,15,241507
Mix This Feeling - Original Mix,Centron,2014-10-06,0,246953
Pieces,CHIMES,2015-07-01,0,273750
ShadowBoxz,D1ofAquavibe,2015-09-10,6,222595
Break Away,Foria,2016-01-14,0,301714
You've Got to Move,Disfigure,2013-01-12,7,248952
Los Angeles,Vaski,2016-01-31,0,192500
Possessed - M4SONIC Remix,TGC,2015-01-17,10,261541
Surreal (Feat. Abby Sevcik),Mielo,2017-10-20,0,228031
Lack Of Shame - Original Mix,Elènne,2014-01-24,4,291166
Best in the West,Lets Be Friends,2013-07-08,33,298626
Release,JayKode,2015-07-06,0,246073
Kaede - Original Mix,Nhato,2015-12-21,13,408311
Faces,L Plus,2013-02-03,0,314493
Arigato!,W-Fu !!!,2016-05-10,12,320177
Killing Giants (EFL103),Puppet & Murtagh,2016-11-15,13,274427
Complete - R.O Remix,LigOne,2015-01-21,12,199500
True Stories,Axero,2015-09-24,25,274838
Robot Love,Klaypex,2015-04-28,36,231640
Beyond the Void,Arkana,2014-12-18,0,321904
Knife (Tofû Remix),Nola Wren,2016-11-18,16,205090
Running Away,Ollygon,2014-12-22,5,257560
Stfu,Pink Guy,2017-01-04,55,224493
Why You Always Lying?,Nicholas Fraser,2016-01-12,40,227106
Lights,DJ Striden,2015-10-01,30,195437
Obama Mic Drop (1999),The Gregory Brothers,2016-01-14,28,144246
Titenic,Jon Tron,2015-06-09,36,180647
Popcorn,Joey Rumble,2016-07-18,0,221648
Cure,Cole Sipe,2015-09-10,0,217411
Closer Further,Toxic Emotion,2016-09-16,0,209240
I'm Beginning To Think You Prefer Beverly Hills 90210 To Me,Fight Like Apes,2009-01-26,0,203413
ninelie,Aimer,2016,0,261773
Another Earth,Pink Guy,2017-01-04,31,132206
Small Dick,Pink Guy,2017-01-04,35,132285
Pink Life,Pink Guy,2017-01-04,40,190640
Shape of You,Ed Sheeran,2017-03-03,89,233712
Galway Girl,Ed Sheeran,2017-03-03,81,170826
It Ain't Me (with Selena Gomez),Kygo,2017-02-16,80,220780
Bounce Back,Big Sean,2017-02-03,0,222360
What Do I Know?,Ed Sheeran,2017-03-03,69,237333
Congratulations,Post Malone,2016-12-09,0,220293
That's What I Like,Bruno Mars,2016-11-17,89,206693
All Night,The Vamps,2016-10-14,0,197793
Call on Me (Ryan Riback Remix),Starley,2016-09-23,65,222040
iSpy (feat. Lil Yachty),KYLE,2016-12-02,73,253106
Starboy,The Weeknd,2016-11-25,36,230453
Paris,The Chainsmokers,2017-01-13,70,221520
Barcelona,Ed Sheeran,2017-03-03,66,191146
Say You Won't Let Go,James Arthur,2016-10-28,88,211466
All Time Low,Jon Bellion,2016-06-10,69,217603
Dive,Ed Sheeran,2017-03-03,75,238440
Mask Off,Future,2017-08-04,50,204600
Weak,AJR,2017,0,202186
Nancy Mulligan,Ed Sheeran,2017-03-03,67,179786
Castle on the Hill,Ed Sheeran,2017-03-03,82,261153
Eraser,Ed Sheeran,2017-03-03,60,227426
Something Just Like This,The Chainsmokers,2017-02-22,75,247626
Scared to Be Lonely,Martin Garrix,2017-01-27,80,220883
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,77,251088
How Would You Feel (Paean),Ed Sheeran,2017-03-03,67,280533
Slide (feat. Frank Ocean & Migos),Calvin Harris,2017-02-24,72,230813
Chained To The Rhythm,Katy Perry,2017-02-10,0,237915
You Don't Know Me,Jax Jones,2016-12-09,0,213946
Believer,Imagine Dragons,2017-01-31,0,203782
New Man,Ed Sheeran,2017-03-03,65,189280
Stay (with Alessia Cara),Zedd,2017-02-23,1,210090
I Feel It Coming,The Weeknd,2016-11-25,0,269186
Perfect,Ed Sheeran,2017-03-03,90,263400
Hearts Don't Break Around Here,Ed Sheeran,2017-03-03,64,248413
Everybody (feat. Phillip Müller),K-391,2014-12-04,0,311259
Happier,Ed Sheeran,2017-03-03,80,207520
Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,2017-01-26,37,203180
Solo Dance,Martin Jensen,2016-11-04,1,174933
Issues,Julia Michaels,2017-01-13,1,176346
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-04-07,8,343150
Chantaje,Shakira,2016,0,195612
Cold,Maroon 5,2017-02-14,0,234308
Green Light,Lorde,2017-03-02,0,234661
Just Hold On,Steve Aoki,2016-12-10,62,198774
SUBEME LA RADIO,Enrique Iglesias,2017-02-24,71,207680
Supermarket Flowers,Ed Sheeran,2017-03-03,77,221106
El Amante,Nicky Jam,2017-01-20,70,219506
Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,0,228200
I Have a Gun,Pink Guy,2017-01-04,37,110000
Nickelodeon Girls,Pink Guy,2017-01-04,47,188546
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2016-12-09,0,245200
Fairy Tail Theme,Taylor Davis,2012-12-15,44,188000
Attack on Titan Theme (Guren No Yumiya),Taylor Davis,2014-07-29,33,171986
Fairy Tail Theme,Taylor Davis,2014-07-29,38,208933
"He's a Pirate (From ""Pirates of the Caribbean"")",Taylor Davis,2013-07-23,42,157640
Assassin's Creed III Theme,Taylor Davis,2012-12-15,29,174222
The Avengers Theme,Taylor Davis,2013-08-27,0,124000
Game of Thrones Theme,Taylor Davis,2013-03-26,31,201847
Arrival to Earth (Transformers),Taylor Davis,2012-06-28,17,246000
"Swordland (From ""Sword Art Online"")",Taylor Davis,2015-09-01,28,178124
RE:I AM,Aimer,2014-06-25,0,345133
Cold Sun,Aimer,2014-06-25,0,309093
No.1,Kana Nishino,2010,0,252000
トリセツ,Kana Nishino,2016-07-15,0,257253
スピカ,Aimer,2016-05-11,0,308413
Best Friend,Kana Nishino,2013-09-04,0,319840
Brave Shine,Aimer,2015-07-29,0,233493
眠りの森,Aimer,2014-06-25,0,273360
Through My Blood <AM>,Aimer,2016-05-11,0,241533
Distance,Kana Nishino,2013-09-04,0,226600
Passionfruit,Drake,2017-03-18,0,298940
HUMBLE.,Kendrick Lamar,2017-03-31,1,177604
Symphony (feat. Zara Larsson),Clean Bandit,2017-03-16,76,212459
Me Rehúso,Danny Ocean,2016-09-16,0,205741
Tunnel Vision,Kodak Black,2017-02-17,50,268186
Portland,Drake,2017-03-18,2,236614
"How Far I'll Go - From ""Moana""",Alessia Cara,2016-10-28,0,175517
Why Can't We Be Friends?,War,1994-10-18,23,228333
FEAR.,Kendrick Lamar,2017-04-14,0,460573
Sign of the Times,Harry Styles,2017-04-07,1,340706
Goofy's Trial,Pink Guy,2017-01-04,36,166402
Rice Balls,Pink Guy,2017-01-04,45,196173
